"","AQI","Air.Quality.Index..AQI.","city","Parameter","date","year","mon","Day","Hour","value","unit","Duration","QC"
"1",1,"Moderate","Beijing","PM2.5","2014-01-01 00:00:00",2014,1,1,0,53,"µg/m³","1 Hr","Valid"
"2",2,"Moderate","Beijing","PM2.5","2014-01-01 01:00:00",2014,1,1,1,65,"µg/m³","1 Hr","Valid"
"3",3,"Moderate","Beijing","PM2.5","2014-01-01 02:00:00",2014,1,1,2,70,"µg/m³","1 Hr","Valid"
"4",4,"Moderate","Beijing","PM2.5","2014-01-01 03:00:00",2014,1,1,3,79,"µg/m³","1 Hr","Valid"
"5",5,"Moderate","Beijing","PM2.5","2014-01-01 04:00:00",2014,1,1,4,92,"µg/m³","1 Hr","Valid"
"6",6,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-01 05:00:00",2014,1,1,5,106,"µg/m³","1 Hr","Valid"
"7",7,"Moderate","Beijing","PM2.5","2014-01-01 06:00:00",2014,1,1,6,75,"µg/m³","1 Hr","Valid"
"8",8,"Moderate","Beijing","PM2.5","2014-01-01 07:00:00",2014,1,1,7,58,"µg/m³","1 Hr","Valid"
"9",9,"Good","Beijing","PM2.5","2014-01-01 08:00:00",2014,1,1,8,33,"µg/m³","1 Hr","Valid"
"10",10,"Moderate","Beijing","PM2.5","2014-01-01 09:00:00",2014,1,1,9,51,"µg/m³","1 Hr","Valid"
"11",11,"Good","Beijing","PM2.5","2014-01-01 10:00:00",2014,1,1,10,32,"µg/m³","1 Hr","Valid"
"12",12,"Good","Beijing","PM2.5","2014-01-01 11:00:00",2014,1,1,11,23,"µg/m³","1 Hr","Valid"
"13",13,"Good","Beijing","PM2.5","2014-01-01 12:00:00",2014,1,1,12,28,"µg/m³","1 Hr","Valid"
"14",14,"Good","Beijing","PM2.5","2014-01-01 13:00:00",2014,1,1,13,23,"µg/m³","1 Hr","Valid"
"15",15,"Good","Beijing","PM2.5","2014-01-01 14:00:00",2014,1,1,14,24,"µg/m³","1 Hr","Valid"
"16",16,"Good","Beijing","PM2.5","2014-01-01 15:00:00",2014,1,1,15,26,"µg/m³","1 Hr","Valid"
"17",17,"Good","Beijing","PM2.5","2014-01-01 16:00:00",2014,1,1,16,26,"µg/m³","1 Hr","Valid"
"18",18,"Good","Beijing","PM2.5","2014-01-01 17:00:00",2014,1,1,17,27,"µg/m³","1 Hr","Valid"
"19",19,"Good","Beijing","PM2.5","2014-01-01 18:00:00",2014,1,1,18,43,"µg/m³","1 Hr","Valid"
"20",20,"Moderate","Beijing","PM2.5","2014-01-01 19:00:00",2014,1,1,19,62,"µg/m³","1 Hr","Valid"
"21",21,"Moderate","Beijing","PM2.5","2014-01-01 20:00:00",2014,1,1,20,70,"µg/m³","1 Hr","Valid"
"22",22,"Moderate","Beijing","PM2.5","2014-01-01 21:00:00",2014,1,1,21,81,"µg/m³","1 Hr","Valid"
"23",23,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-01 22:00:00",2014,1,1,22,111,"µg/m³","1 Hr","Valid"
"24",24,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-01 23:00:00",2014,1,1,23,144,"µg/m³","1 Hr","Valid"
"25",25,"Unhealthy","Beijing","PM2.5","2014-01-02 00:00:00",2014,1,2,0,170,"µg/m³","1 Hr","Valid"
"26",26,"Unhealthy","Beijing","PM2.5","2014-01-02 01:00:00",2014,1,2,1,174,"µg/m³","1 Hr","Valid"
"27",27,"Unhealthy","Beijing","PM2.5","2014-01-02 02:00:00",2014,1,2,2,174,"µg/m³","1 Hr","Valid"
"28",28,"Unhealthy","Beijing","PM2.5","2014-01-02 03:00:00",2014,1,2,3,172,"µg/m³","1 Hr","Valid"
"29",29,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 04:00:00",2014,1,2,4,149,"µg/m³","1 Hr","Valid"
"30",30,"Unhealthy","Beijing","PM2.5","2014-01-02 05:00:00",2014,1,2,5,166,"µg/m³","1 Hr","Valid"
"31",31,"Unhealthy","Beijing","PM2.5","2014-01-02 06:00:00",2014,1,2,6,187,"µg/m³","1 Hr","Valid"
"32",32,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 07:00:00",2014,1,2,7,107,"µg/m³","1 Hr","Valid"
"33",33,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 08:00:00",2014,1,2,8,114,"µg/m³","1 Hr","Valid"
"34",34,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 09:00:00",2014,1,2,9,108,"µg/m³","1 Hr","Valid"
"35",35,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 10:00:00",2014,1,2,10,102,"µg/m³","1 Hr","Valid"
"36",36,"Moderate","Beijing","PM2.5","2014-01-02 11:00:00",2014,1,2,11,95,"µg/m³","1 Hr","Valid"
"37",37,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 12:00:00",2014,1,2,12,127,"µg/m³","1 Hr","Valid"
"38",38,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 13:00:00",2014,1,2,13,125,"µg/m³","1 Hr","Valid"
"39",39,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 14:00:00",2014,1,2,14,128,"µg/m³","1 Hr","Valid"
"40",40,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-02 15:00:00",2014,1,2,15,146,"µg/m³","1 Hr","Valid"
"41",41,"Unhealthy","Beijing","PM2.5","2014-01-02 16:00:00",2014,1,2,16,165,"µg/m³","1 Hr","Valid"
"42",42,"Unhealthy","Beijing","PM2.5","2014-01-02 17:00:00",2014,1,2,17,173,"µg/m³","1 Hr","Valid"
"43",43,"Unhealthy","Beijing","PM2.5","2014-01-02 18:00:00",2014,1,2,18,195,"µg/m³","1 Hr","Valid"
"44",44,"Very Unhealthy","Beijing","PM2.5","2014-01-02 19:00:00",2014,1,2,19,239,"µg/m³","1 Hr","Valid"
"45",45,"Very Unhealthy","Beijing","PM2.5","2014-01-02 20:00:00",2014,1,2,20,232,"µg/m³","1 Hr","Valid"
"46",46,"Very Unhealthy","Beijing","PM2.5","2014-01-02 21:00:00",2014,1,2,21,242,"µg/m³","1 Hr","Valid"
"47",47,"Very Unhealthy","Beijing","PM2.5","2014-01-02 22:00:00",2014,1,2,22,269,"µg/m³","1 Hr","Valid"
"48",48,"Very Unhealthy","Beijing","PM2.5","2014-01-02 23:00:00",2014,1,2,23,264,"µg/m³","1 Hr","Valid"
"49",49,"Very Unhealthy","Beijing","PM2.5","2014-01-03 00:00:00",2014,1,3,0,220,"µg/m³","1 Hr","Valid"
"50",50,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-03 01:00:00",2014,1,3,1,146,"µg/m³","1 Hr","Valid"
"51",51,"Good","Beijing","PM2.5","2014-01-03 02:00:00",2014,1,3,2,34,"µg/m³","1 Hr","Valid"
"52",52,"Good","Beijing","PM2.5","2014-01-03 03:00:00",2014,1,3,3,34,"µg/m³","1 Hr","Valid"
"53",53,"Good","Beijing","PM2.5","2014-01-03 04:00:00",2014,1,3,4,35,"µg/m³","1 Hr","Valid"
"54",54,"Good","Beijing","PM2.5","2014-01-03 05:00:00",2014,1,3,5,45,"µg/m³","1 Hr","Valid"
"55",55,"Good","Beijing","PM2.5","2014-01-03 06:00:00",2014,1,3,6,43,"µg/m³","1 Hr","Valid"
"56",56,"Good","Beijing","PM2.5","2014-01-03 07:00:00",2014,1,3,7,43,"µg/m³","1 Hr","Valid"
"57",57,"Good","Beijing","PM2.5","2014-01-03 08:00:00",2014,1,3,8,36,"µg/m³","1 Hr","Valid"
"58",58,"Good","Beijing","PM2.5","2014-01-03 09:00:00",2014,1,3,9,36,"µg/m³","1 Hr","Valid"
"59",59,"Good","Beijing","PM2.5","2014-01-03 10:00:00",2014,1,3,10,23,"µg/m³","1 Hr","Valid"
"60",60,"Good","Beijing","PM2.5","2014-01-03 11:00:00",2014,1,3,11,25,"µg/m³","1 Hr","Valid"
"61",61,"Good","Beijing","PM2.5","2014-01-03 12:00:00",2014,1,3,12,29,"µg/m³","1 Hr","Valid"
"62",62,"Good","Beijing","PM2.5","2014-01-03 13:00:00",2014,1,3,13,26,"µg/m³","1 Hr","Valid"
"63",63,"Good","Beijing","PM2.5","2014-01-03 14:00:00",2014,1,3,14,21,"µg/m³","1 Hr","Valid"
"64",64,"Good","Beijing","PM2.5","2014-01-03 15:00:00",2014,1,3,15,25,"µg/m³","1 Hr","Valid"
"65",65,"Good","Beijing","PM2.5","2014-01-03 16:00:00",2014,1,3,16,31,"µg/m³","1 Hr","Valid"
"66",66,"Good","Beijing","PM2.5","2014-01-03 17:00:00",2014,1,3,17,43,"µg/m³","1 Hr","Valid"
"67",67,"Good","Beijing","PM2.5","2014-01-03 18:00:00",2014,1,3,18,46,"µg/m³","1 Hr","Valid"
"68",68,"Good","Beijing","PM2.5","2014-01-03 19:00:00",2014,1,3,19,50,"µg/m³","1 Hr","Valid"
"69",69,"Moderate","Beijing","PM2.5","2014-01-03 20:00:00",2014,1,3,20,68,"µg/m³","1 Hr","Valid"
"70",70,"Moderate","Beijing","PM2.5","2014-01-03 21:00:00",2014,1,3,21,60,"µg/m³","1 Hr","Valid"
"71",71,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-03 22:00:00",2014,1,3,22,103,"µg/m³","1 Hr","Valid"
"72",72,"Moderate","Beijing","PM2.5","2014-01-03 23:00:00",2014,1,3,23,85,"µg/m³","1 Hr","Valid"
"73",73,"Moderate","Beijing","PM2.5","2014-01-04 00:00:00",2014,1,4,0,86,"µg/m³","1 Hr","Valid"
"74",74,"Moderate","Beijing","PM2.5","2014-01-04 01:00:00",2014,1,4,1,89,"µg/m³","1 Hr","Valid"
"75",75,"Moderate","Beijing","PM2.5","2014-01-04 02:00:00",2014,1,4,2,77,"µg/m³","1 Hr","Valid"
"76",76,"Moderate","Beijing","PM2.5","2014-01-04 03:00:00",2014,1,4,3,77,"µg/m³","1 Hr","Valid"
"77",77,"Moderate","Beijing","PM2.5","2014-01-04 04:00:00",2014,1,4,4,75,"µg/m³","1 Hr","Valid"
"78",78,"Moderate","Beijing","PM2.5","2014-01-04 05:00:00",2014,1,4,5,80,"µg/m³","1 Hr","Valid"
"79",79,"Moderate","Beijing","PM2.5","2014-01-04 06:00:00",2014,1,4,6,86,"µg/m³","1 Hr","Valid"
"80",80,"Moderate","Beijing","PM2.5","2014-01-04 07:00:00",2014,1,4,7,95,"µg/m³","1 Hr","Valid"
"81",81,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-04 08:00:00",2014,1,4,8,101,"µg/m³","1 Hr","Valid"
"82",82,"Unhealthy for Sensitive Groups","Beijing","PM2.5","2014-01-04 09:00:00",2014,1,4,9,132,"µg/m³","1 Hr","Valid"
"83",83,"Unhealthy","Beijing","PM2.5","2014-01-04 10:00:00",2014,1,4,10,153,"µg/m³","1 Hr","Valid"
"84",84,"Unhealthy","Beijing","PM2.5","2014-01-04 11:00:00",2014,1,4,11,173,"µg/m³","1 Hr","Valid"
"85",85,"Unhealthy","Beijing","PM2.5","2014-01-04 12:00:00",2014,1,4,12,178,"µg/m³","1 Hr","Valid"
"86",86,"Unhealthy","Beijing","PM2.5","2014-01-04 13:00:00",2014,1,4,13,176,"µg/m³","1 Hr","Valid"
"87",87,"Very Unhealthy","Beijing","PM2.5","2014-01-04 14:00:00",2014,1,4,14,209,"µg/m³","1 Hr","Valid"
"88",88,"Very Unhealthy","Beijing","PM2.5","2014-01-04 15:00:00",2014,1,4,15,219,"µg/m³","1 Hr","Valid"
"89",89,"Very Unhealthy","Beijing","PM2.5","2014-01-04 16:00:00",2014,1,4,16,224,"µg/m³","1 Hr","Valid"
"90",90,"Very Unhealthy","Beijing","PM2.5","2014-01-04 17:00:00",2014,1,4,17,212,"µg/m³","1 Hr","Valid"
"91",91,"Very Unhealthy","Beijing","PM2.5","2014-01-04 18:00:00",2014,1,4,18,221,"µg/m³","1 Hr","Valid"
"92",92,"Very Unhealthy","Beijing","PM2.5","2014-01-04 19:00:00",2014,1,4,19,221,"µg/m³","1 Hr","Valid"
"93",93,"Very Unhealthy","Beijing","PM2.5","2014-01-04 20:00:00",2014,1,4,20,217,"µg/m³","1 Hr","Valid"
"94",94,"Very Unhealthy","Beijing","PM2.5","2014-01-04 21:00:00",2014,1,4,21,203,"µg/m³","1 Hr","Valid"
"95",95,"Very Unhealthy","Beijing","PM2.5","2014-01-04 22:00:00",2014,1,4,22,221,"µg/m³","1 Hr","Valid"
"96",96,"Unhealthy","Beijing","PM2.5","2014-01-04 23:00:00",2014,1,4,23,192,"µg/m³","1 Hr","Valid"
"97",97,"Unhealthy","Beijing","PM2.5","2014-01-05 00:00:00",2014,1,5,0,183,"µg/m³","1 Hr","Valid"
"98",98,"Unhealthy","Beijing","PM2.5","2014-01-05 01:00:00",2014,1,5,1,175,"µg/m³","1 Hr","Valid"
"99",99,"Unhealthy","Beijing","PM2.5","2014-01-05 02:00:00",2014,1,5,2,177,"µg/m³","1 Hr","Valid"
"100",100,"Unhealthy","Beijing","PM2.5","2014-01-05 03:00:00",2014,1,5,3,183,"µg/m³","1 Hr","Valid"
"101",101,"Unhealthy","Beijing","PM2.5","2014-01-05 04:00:00",2014,1,5,4,155,"µg/m³","1 Hr","Valid"
